,FGBS,FGBM,FGBL,FGBX,FOAT,FBTP,CL,BRN,ES,ZN,GC,6E,TFM
FGBS,1.0,0.8261535083180643,0.8249859334130093,0.5962740814272218,0.7347110134918893,0.7562650361102421,-0.620312746890043,-0.6056652890207573,-0.0928440329953376,0.47986182437750624,0.34977551231044357,0.3449346064010502,-0.4840769997490045
FGBM,0.8261535083180643,1.0,0.7962340644948921,0.7027231350714112,0.7426030074925397,0.7436946494638284,-0.4540910602218517,-0.4476980845073539,-0.06598269845002348,0.5668466470723678,0.3236727142742554,0.3290723678689833,-0.3536772635379463
FGBL,0.8249859334130093,0.7962340644948921,1.0,0.878216670667649,0.9100046417646555,0.8719578257633075,-0.5224939900244091,-0.499073364913161,0.003667401374297816,0.5604672034903802,0.28060530097131825,0.28433820756400174,-0.3429394405916406
FGBX,0.5962740814272218,0.7027231350714112,0.878216670667649,1.0,0.8210673027589093,0.7485846043668056,-0.3428071318428261,-0.3338010419974339,0.021168480553743003,0.5065089983085372,0.19836603972837186,0.2096195599538329,-0.2001898080054155
FOAT,0.7347110134918893,0.7426030074925397,0.9100046417646555,0.8210673027589092,1.0,0.9295264149770617,-0.5269223859712628,-0.5066315050496407,0.23436074639772425,0.6175422446114429,0.32365441651328714,0.34707902593756484,-0.3774306760783534
FBTP,0.7562650361102421,0.7436946494638284,0.8719578257633075,0.7485846043668057,0.9295264149770617,1.0,-0.5708699029945937,-0.5460970837849943,0.31716477032160867,0.6117952731389948,0.33543107688889084,0.36021188049273517,-0.42135524004102853
CL,-0.6203127468900431,-0.4540910602218517,-0.5224939900244092,-0.34280713184282613,-0.5269223859712628,-0.5708699029945937,1.0,0.9550992968042015,-0.11833543528328783,-0.3416742508223004,-0.08025371990458437,-0.2919249207551053,0.6362272352773866
BRN,-0.6056652890207572,-0.4476980845073539,-0.499073364913161,-0.3338010419974339,-0.5066315050496406,-0.5460970837849944,0.9550992968042014,1.0,-0.12171017495193631,-0.3444381018970128,-0.08918708690061176,-0.29667187059326516,0.6392956530939657
ES,-0.0928440329953376,-0.06598269845002348,0.003667401374297816,0.021168480553743006,0.23436074639772422,0.3171647703216086,-0.11833543528328781,-0.12171017495193631,1.0,0.07681181823624729,0.1630434142000693,0.14527692759902822,-0.1408662012662296
ZN,0.4798618243775062,0.5668466470723678,0.5604672034903802,0.5065089983085372,0.6175422446114429,0.6117952731389948,-0.34167425082230046,-0.3444381018970128,0.07681181823624729,1.0,0.15571256212979778,0.2928173638315548,-0.2711393507154636
GC,0.34977551231044357,0.3236727142742554,0.2806053009713182,0.19836603972837183,0.32365441651328714,0.33543107688889084,-0.08025371990458437,-0.08918708690061176,0.16304341420006926,0.15571256212979775,1.0,0.42698683181731173,-0.1250523182843009
6E,0.3449346064010502,0.3290723678689833,0.28433820756400174,0.2096195599538329,0.34707902593756484,0.3602118804927352,-0.2919249207551053,-0.2966718705932651,0.14527692759902822,0.2928173638315549,0.4269868318173118,1.0,-0.3278962761500261
TFM,-0.4840769997490045,-0.3536772635379463,-0.3429394405916406,-0.2001898080054155,-0.3774306760783534,-0.42135524004102853,0.6362272352773866,0.6392956530939657,-0.1408662012662296,-0.2711393507154636,-0.1250523182843009,-0.3278962761500261,0.9999999999999998
