session_time,CL,FESX,ZN
08:00,0.006595397436087985,-0.00880198857116817,0.014118326069102615
08:15,0.005789250235953586,-0.0069360779991585395,0.01839460349839989
08:30,0.005665743180658076,-0.00894218956505089,0.02062537528704155
08:45,-0.001572050338947532,0.005798335965222737,0.016028580442914813
09:00,0.011011589180299005,0.005418984721375711,0.011288422959822145
09:15,0.012461112327491884,0.00401455785282151,0.023306248931687368
09:30,0.007571009873441355,0.004743653114102142,0.008474393850593401
09:45,0.018044301147881577,0.0028486867989881877,0.01195687032593131
10:00,0.011673439408585772,0.0044279474017894505,0.0016724359845996727
10:15,0.009499554390546708,0.00012907681696223364,0.0050327725563633205
10:30,0.013183020602458413,-0.0016032142530717282,0.005209067880437317
10:45,0.007680141056191234,-0.0001370383462714172,0.0050786260384132085
11:00,0.011005151465296436,-0.002798782528753142,0.015502776140926109
11:15,-0.000915556944104963,1.8620999804065647e-05,0.014150542006253366
11:30,-0.0007893414408729991,0.0012783100869010117,0.000980083003337826
11:45,0.01446143005020515,0.0058248539071040556,0.01771690295048395
12:00,0.008622454535145761,-0.0012417501824836333,0.004241490716689013
12:15,0.009996912705807546,-0.0011544889162488448,0.0028441073657006675
12:30,0.00810589959540931,-0.0053917777696970105,0.004619379235958701
12:45,0.012452122120203475,-0.007288962909097443,0.013795007096295614
13:00,0.01088056304593324,-0.0038008346723745288,0.0008058102600657607
13:15,0.00838174165076862,-0.008101562555006558,0.009959604602521595
13:30,0.013433349142459042,0.0007485207288265004,0.013156969727902734
13:45,0.01432505452909734,-0.005124745091306205,0.019853286903059073
14:00,0.010469240559461268,0.001112018744641844,0.013147843292317314
14:15,0.00901668111797885,0.004453020185406099,0.010121057529211469
14:30,0.007881745846569067,-0.001876445652308609,0.011347047940052849
14:45,0.015291767460717387,0.0009551240256675447,0.019647284777009895
15:00,0.01410387091325334,0.0029859791350164097,0.009622795148727976
15:15,0.006750737028684284,-0.006001582983282104,0.010308215629805186
15:30,0.018533905990850703,0.005495297723521401,0.010525390151674566
15:45,0.009858105340226395,-0.0006930059026075404,0.01321994356044262
16:00,0.007236165491251916,-0.011184189983296747,0.025672525624686016
16:15,0.010357113677349544,0.0006416254079943994,0.017761275360984922
16:30,0.00959509569830273,-0.0008762747020513908,0.01774873661583813
16:45,0.009137385703038162,-0.003492707754727658,0.015472769287730634
