run,n_test,base_up,base_dn,n_up,prec_up,lift_up,ww_up,n_dn,prec_dn,lift_dn,ww_dn
fbtp_stack6_h60_L4H2_sess,386979,0.179,0.171,14422,0.385,2.16,0.17,11405,0.326,1.9,0.201
fbtp_stack6_h60_L8H1_sess,386979,0.179,0.171,18539,0.351,1.97,0.173,11743,0.33,1.93,0.202
fbtp_stack6_h60_sess,386979,0.179,0.171,6965,0.417,2.33,0.212,9368,0.348,2.03,0.21
fbtp_h60_sess,386979,0.179,0.171,6485,0.424,2.37,0.165,6612,0.326,1.91,0.223
fgbx_stack6_h60_sess,273241,0.09,0.09,1947,0.313,3.47,0.085,3067,0.245,2.71,0.183
fgbx_h60_sess,277226,0.085,0.081,316,0.389,4.55,0.082,765,0.307,3.78,0.158
foat_lean3_h60_sess,284588,0.155,0.149,3836,0.398,2.56,0.152,4012,0.285,1.91,0.203
foat_stack6_h60_sess,284588,0.155,0.149,5204,0.437,2.82,0.169,4641,0.328,2.19,0.221
foat_h300_sess,277307,0.304,0.28,45412,0.368,1.21,0.265,31223,0.339,1.21,0.295
foat_h60_seed2_sess,284591,0.155,0.149,1083,0.469,3.02,0.138,557,0.382,2.56,0.196
foat_h60_seed3_sess,284591,0.155,0.149,2213,0.437,2.81,0.172,3869,0.27,1.81,0.364
foat_h60_sess,284591,0.155,0.149,4899,0.394,2.54,0.135,2214,0.283,1.89,0.277
